Province/States,Country/Region,WHO region,WHO region label,Date,Count
Confirmed,Globally,,,1/21/20,282
,,,,1/22/20,314
,,,,1/23/20,581
,,,,1/24/20,846
,,,,1/25/20,1320
,,,,1/26/20,2014
,,,,1/27/20,2798
,,,,1/28/20,4593
,,,,1/29/20,6065
,,,,1/30/20,7818
,,,,1/31/20,9826
,,,,2/1/20,11953
,,,,2/2/20,14557
,,,,2/3/20,17391
,,,,2/4/20,20630
,,,,2/5/20,24554
,,,,2/6/20,28276
,,,,2/7/20,31481
,,,,2/8/20,34886
,,,,2/9/20,37558
,,,,2/10/20,40554
,,,,2/11/20,43103
,,,,2/12/20,45171
,,,,2/13/20,46997
,,,,2/14/20,49053
,,,,2/15/20,50580
,,,,2/16/20,51857
,,,,2/17/20,71429
,,,,2/18/20,73332
,,,,2/19/20,75204
,,,,2/20/20,75748
,,,,2/21/20,76769
,,,,2/22/20,77794
,,,,2/23/20,78811
,,,,2/24/20,79331
,,,,2/25/20,80239
,,,,2/26/20,81109
,,,,2/27/20,82294
,,,,2/28/20,83652
,,,,2/29/20,85403
,,,,3/1/20,87137
,,,,3/2/20,88948
,,,,3/3/20,90870
,,,,3/4/20,93091
,,,,3/5/20,95324
,,,,3/6/20,98192
,,,,3/7/20,101927
,,,,3/8/20,105586
,,,,3/9/20,109577
,,,,3/10/20,113702
,,,,3/11/20,118319
,,,,3/12/20,125048
,,,,3/13/20,132758
,,,,3/14/20,142539
,,,,3/15/20,153517
,,,,3/16/20,167515
,,,,3/17/20,179111
,,,,3/18/20,191127
,,,,3/19/20,209839
,,,,3/20/20,234073
,,,,3/21/20,266073
,,,,3/22/20,292142
,,,,3/23/20,332930
,,,,3/24/20,372755
,,,,3/25/20,413467
,,,,3/26/20,462684
,,,,3/27/20,509164
,,,,3/28/20,571659
,,,,3/29/20,634813
,,,,3/30/20,693282
,,,,3/31/20,750890
,,,,4/1/20,823626
,,,,4/2/20,896450
,,,,4/3/20,972303
,,,,4/4/20,1051697
,,,,4/5/20,1133758
,,,,4/6/20,1210956
,,,,4/7/20,1279722
,,,,4/8/20,1353361
,,,,4/9/20,1210956
,,,,4/10/20,1521252
,,,,4/11/20,1610909
,,,,4/12/20,1696588
,,,,4/13/20,1773084
,,,,4/14/20,1844863
,,,,4/15/20,1914916
,,,,4/16/20,1991562
,,,,4/17/20,2074529
,,,,4/18/20,2160207
,,,,4/19/20,2241778
,,,,4/20/20,2314621
,,,,4/21/20,2397216
,,,,4/22/20,2471136
,,,,4/23/20,2544792
,,,,4/24/20,2626321
,,,,4/25/20,2719896
,,,,4/26/20,2804796
,,,,4/27/20,2878196
,,,,4/28/20,2954222
,,,,4/29/20,3018681
,,,,4/30/20,3090445
,,,,5/1/20,3175207
,,,,5/2/20,3267184
,,,,5/3/20,3349786
,,,,5/4/20,3435894
,,,,5/5/20,3517345
,,,,5/6/20,3588773
,,,,5/7/20,3672238
,,,,5/8/20,3759967
,,,,5/9/20,3855809
,,,,5/10/20,3917366
,,,,5/11/20,4006257
,,,,5/12/20,4088848
,,,,5/13/20,4170424
,,,,5/14/20,4248389
,,,,5/15/20,4338658
,,,,5/16/20,4425485
,,,,5/17/20,4525497
,,,,5/18/20,4618821
,,,,5/19/20,4731458
,,,,5/20/20,4789205
,,,,5/21/20,4893186
,,,,5/22/20,4993470
,,,,5/23/20,5103006
,,,,5/24/20,5204508
,,,,5/25/20,5304772
,,,,5/26/20,5404512
,,,,5/27/20,5488825
,,,,5/28/20,5593631
,,,,5/29/20,5701337
,,,,5/30/20,5817385
,,,,5/31/20,5934936
,,,,6/1/20,6057853
,,,,6/2/20,6194533
,,,,6/3/20,6287771
,,,,6/4/20,6416828
,,,,6/5/20,6535354
,,,,6/6/20,6663304
,,,,6/7/20,6799713
,,,,6/8/20,6931000
,,,,6/9/20,7039918
,,,,6/10/20,7145539
,,,,6/11/20,7273958
,,,,6/12/20,7410510
,,,,6/13/20,7553182
,,,,6/14/20,7690708
,,,,6/15/20,7823289
,,,,6/16/20,7941791
,,,,6/17/20,8061550
,,,,6/18/20,8242999
,,,,6/19/20,8385440
Deaths,Globally,,,3/17/20,7426
,,,,3/18/20,7807
,,,,3/19/20,8778
,,,,3/20/20,9840
,,,,3/21/20,11184
,,,,3/22/20,12783
,,,,3/23/20,14509
,,,,3/24/20,16231
,,,,3/25/20,18433
,,,,3/26/20,20834
,,,,3/27/20,23335
,,,,3/28/20,26493
,,,,3/29/20,29891
,,,,3/30/20,33106
,,,,3/31/20,36405
,,,,4/1/20,40598
,,,,4/2/20,45525
,,,,4/3/20,50321
,,,,4/4/20,56986
,,,,4/5/20,62784
,,,,4/6/20,67594
,,,,4/7/20,72614
,,,,4/8/20,79235
,,,,4/9/20,85522
,,,,4/10/20,92798
